"Labor","Nivel","AnchoPro","AltoPro","Empresa","Tipo","Fecha","Guardia","AnchoReal","AltoReal","CumplimientoRecomendacion","NivelRiesgo","Condicion","Recomendacion","Sostenimiento","GSI","PorcentajeTabla","TipoSostenimiento","Responsable","Operaciones","Seguridad","Geomecanico","Registro","ProcesoMinado","SostenimientoTope","HastialDerecho","HastialIzquierdo","MallasTraslapadas","MallasRotas"
"Cr 160E",2960,4.5,4,"IESA SA","EXPLOTACION","""2015-07-14T05:00:00.000Z""","NOCHE",4.2,4.2,true,"CRITICO","null","Eliminar mallas deteriorads y  reforzar sostenimiento en espacios habiertos hsta la gradiente y voladura controlada, evitar la sobrerotura",true,"MF/R",6,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"SIN PERSONAL","No","1.18","1.40","Si","Si"
"Cro 679",3600,4,4,"COPSEM","EXPLOTACION","""2015-07-15T05:00:00.000Z""","DIA",4.2,4.2,true,"BAJO","null","Roca de caliza gris, discontinuada sema paralela el avance ligeramente alterada, hay una falla semi paralela y una transversal formando una cuña al lado derecho. Se observa mallas rotas y una cuña al lado derecho, recomendacion reforzar el sostenimiento y desatar la cuña",true,"F/R",9,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.30","1.30","Si","Si"
"Stp 154 N",3600,4,4,"COPSEM","EXPLOTACION","""2015-07-15T05:00:00.000Z""","DIA",4.5,4.5,true,"CRITICO","null","Roca de baja resistencia presencia de relleno suave, presencia de venillas de calcio, contacto mineralizado semiparalelo a la labor se observa mallas cargadas desde la intersección y falta reforzar el sostenimiento Recomendación descargue de mallas y reforzar el sostenimiento",true,"MF/P",3,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","1.50","1.50","Si","Si"
"Cro 147",2890,4,4,"IESA SA","EXPLOTACION","""2015-07-15T05:00:00.000Z""","NOCHE",4.1,4.1,true,"CRITICO","null","Realizar reforzado  de sostenimento en espacios abiertos, realizr sostenimitno del ultimo disparo, realizar voladura controlada",true,"MF/R",6,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","1.4","1.1","Si","Si"
"Stp 995",3600,4,5,"CIA MINERA ATACOCHA","EXPLOTACION","""2015-07-16T05:00:00.000Z""","DIA",4.86,4.86,true,"CRITICO","null","Se ha marcado la zona donde se va ha hacer las pruebas de convergencia, de igual manera se debe de reforzar el sostenimiento hacia el tope. Se debe de rezanar los tramos de bancos colgados en el ingreso a la labor.",true,"MF/P",3,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","No","1.4","1.0","No","Si"
"Stp 24",3540,4,5,"CIA MINERA ATACOCHA","EXPLOTACION","""2015-07-16T05:00:00.000Z""","DIA",4.05,4.05,true,"CRITICO","null","Desde el ingreso se debe de reforzar el sostenimiento tanto en hastiales y corona, antes de lanzar el nuevo el nuevo batido. Continuar rellenando, pero se debe de hacer un buen desate de los tramos que se desquinchó. ",true,"MF/R",6,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"SIN PERSONAL","No","0","1.2","No","Si"
"St. 996",3600,4,5,"CIA MINERA ATACOCHA","EXPLOTACION","""2015-07-16T05:00:00.000Z""","DIA",5.17,5.17,true,"CRITICO","null","SE ha marcado para instalar pernos de cnvergencia. Se debe de descargar la malla  y preparar para lanzar shotcrete en la cámara de carguio. En la labor se debe de reforzar el sostenimiento, hacia el lado del acceso al relleno hidraúlico, zona sin sostenimiento.",true,"MF/P",3,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"SIN PERSONAL","No","1.10","1.0","No","Si"
"Stp. 154 N",3600,4,4,"COPSEM","EXPLOTACION","""2015-07-16T05:00:00.000Z""","DIA",4.4,4.4,true,"CRITICO","null","Roca de baja resisencia de relleno suave, contacto mineralizado semi paralelo a la labor. Se observa mallas cargadas y mallas rotas. Recomendacion descargue de mallas cargadas, reforzar el sostenimiento y realizar voladura controlada",true,"MF/P",3,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.4","1.4","Si","Si"
"Rpa. 7854",3420,4,4,"COPSEM","EXPLOTACION","""2015-07-16T05:00:00.000Z""","DIA",4.2,4.2,true,"CRITICO","null","Caliza gris de mediana resistencia con fracturaas transversales persistencia de 3-10 m, ligeramente alterado se observa mallas cargadas y tramos de mallas rotas. Recomendacion descargue de mallas cargadas y reforzar el sostenimiento.",true,"F/R",9,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","1.4","1.4","Si","Si"
"Stp. 7879",3420,4.1,4.1,"COPSEM","EXPLOTACION","""2015-07-17T05:00:00.000Z""","DIA",4.3,4.3,true,"BAJO","null","Caliza gris de mediana resistencia, relleno de calata suave discontinuidades con direccion semiparalela al avance moderadamente alterado. Recomendaciones rellenar la labor por capas.",true,"F/R",9,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"SIN PERSONAL","Si","1.50","1.40","Si","No"
"Cro. 436 S",4050,4,4,"COPSEM","EXPLOTACION","""2015-07-17T05:00:00.000Z""","DIA",4.2,4.2,true,"CRITICO","null","Roca de baja resistencia, zona palizada presencia de calcita, silicia, alteración orgilica, contacto litologico semi paralelo a la labor.   Reforzar el sostenimiento con shocrette de 3""  y realizar la descarga de mallas cargadas y realizar la voladura controlada",true,"MF/MP",0,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.50","1.50","Si","No"
"Cro. 7839",4218,4,4,"COPSEM","EXPLOTACION","""2015-07-17T05:00:00.000Z""","NOCHE",4.2,4.2,true,"CRITICO","null","",true,"MF/R",6,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.30","1.20","Si","Si"
"Cro 436 N.",4050,4.5,4.5,"COPSEM","EXPLOTACION","""2015-07-18T05:00:00.000Z""","DIA",4.5,4.5,true,"CRITICO","null","Emplazado en caliza de baja resistencia, fallas transversales con relleno suave, factor influyente filtracion de agua, se observa que falta realizar la limpieza y sostener hasta el tope",true,"IF/MP",0,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","1.50","1.50","Si","No"
"Cro 436 S.",4050,4,4,"COPSEM","EXPLOTACION","""2015-07-18T05:00:00.000Z""","DIA",4.2,4.2,true,"CRITICO","null","Terreno de baja resistencai zona palizada presencia de calcita, silicio, alteración orgilica.  Falla semiparalela a la labor, el hastial izquierdo se encuentra una falla paralela y transversal a la labor. Reforzar el sostenimiento con shocrette de 3"" descargue de mallas cargadas",true,"MF/MP",0,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"SIN PERSONAL","Si","1.50","1.40","Si","No"
"Cro. 682 N",3600,4,4,"COPSEM","EXPLOTACION","""2015-07-18T05:00:00.000Z""","DIA",4.2,4.2,true,"BAJO","null","",true,"F/R",9,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.40","1.40","Si","No"
"Stp. 7244",3950,4,4,"COPSEM","EXPLOTACION","""2015-07-19T05:00:00.000Z""","DIA",4.4,4.4,true,"CRITICO","null","",true,"MF/R",6,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","Si","1.30","1.40","Si","Si"
"Rpa. 782",3600,4,4,"COPSEM","EXPLOTACION","""2015-07-19T05:00:00.000Z""","NOCHE",4.2,4.2,true,"BAJO","null","",true,"F/R",9,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.50","1.50","Si","Si"
"Rpa. 990 W",2890,4.5,4,"IESA SA","AVANCE","""2015-07-16T05:00:00.000Z""","NOCHE",4.2,4.2,true,"MEDIO","null","",true,"MF/R",6,"Shotcrete con fibra (2""). Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.20","1.40","Si","Si"
"Rpa. 990w",2840,4.5,4,"IESA SA","AVANCE","""2015-07-20T05:00:00.000Z""","DIA",4.08,4.08,true,"BAJO","null","Caliza gris con presencia de fallas paralelas a la labor, se recomienda poner parches de malla en parte de la corona y hastial derecho.",true,"MF/R",6,"Shotcrete con fibra (2""). Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.05","1.10","Si","Si"
"Cro. 160 W",2890,4.5,4,"IESA SA","AVANCE","""2015-07-20T05:00:00.000Z""","DIA",4.13,4.13,true,"CRITICO","null","cortar las mallas reventads y continuar con la rehabilitacion de la labor",true,"MF/P",3,"Shotcrete con fibra (2""). Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","Si","1.15","1.20","Si","No"
"Rap 031",3300,4,4,"IESA SA","EXPLOTACION","""2015-07-20T05:00:00.000Z""","DIA",4,4,true,"BAJO","null","Caliza brechada con presencia de material vituminoso se recomienda utilizar parches de malla en la ultima fila de sostenimiento para evitar los remangados de malla exesivos.",true,"MF/R",6,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.10","1.00","Si","No"
"Rpa.7898",3420,4,4,"COPSEM","EXPLOTACION","""2015-07-20T05:00:00.000Z""","DIA",4.3,4.3,true,"MEDIO","null","",true,"F/R",9,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.50","1.40","Si","Si"
"Cro. 7039 ",4218,5,5,"COPSEM","EXPLOTACION","""2015-07-20T05:00:00.000Z""","NOCHE",5.1,5.1,true,"CRITICO","null","",true,"F/R",9,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","Si","1.50","1.50","Si","Si"
"Cro. 160 w ",2890,4,4,"CIA MINERA ATACOCHA","AVANCE","""2015-07-20T05:00:00.000Z""","DIA",4.2,4.2,true,"CRITICO","null","falta descargar mallas y reforzar el acceso con shotcrete ",true,"MF/P",3,"Shotcrete con fibra (2""). Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"SIN PERSONAL","No","1.30","1.20","No","Si"
"Stp.8089",4050,4,4,"COPSEM","EXPLOTACION","""2015-07-21T05:00:00.000Z""","DIA",4.3,4.3,true,"MEDIO","null","Realizar el sostenimiento, descargue de mallas cargadas, rellenar el tajo de la labor y realizar la voladura controlada.",true,"F/R",9,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.50","1.50","Si","Si"
"Stp.  425",4154,4,4,"COPSEM","EXPLOTACION","""2015-07-21T05:00:00.000Z""","DIA",4.2,4.2,true,"MEDIO","null","Roca de mediana resistencia, presencia de alteración orgilica con venillas de calcita, se observa malas cargadas y falta reforzar el sostenimiento. Recomendación descargue de mallas reforzar el sostenimiento y rellenar tajo.",true,"MF/R",6,"Split Set a 1.00 x 1.00 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.50","1.50","Si","Si"
"Stp.7879",3420,4,5,"COPSEM","EXPLOTACION","""2015-07-21T05:00:00.000Z""","DIA",5,5,true,"MEDIO","null","",true,"MF/R",6,"Split Set a 1.00 x 1.00 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.50","1.30","Si","Si"
"Cro. 160 E",2890,4.5,4,"IESA SA","AVANCE","""2015-07-21T05:00:00.000Z""","DIA",4.1,4.1,true,"CRITICO","null","se recomienda reducir la carga operante en la parte de corona y hastiales.",true,"F/R",9,"Shotcrete con fibra (2""). Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","1.10","1.00","Si","No"
"Cro. 037 ",2890,4.5,4,"IESA SA","EXPLOTACION","""2015-07-21T05:00:00.000Z""","DIA",4.05,4.05,true,"CRITICO","null","presencia de fallas paralelas a la labor se recomienda utilizar parches de malla en la parte de la corona",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","1.10","1.00","Si","No"
"Rpa.  7854",3420,4,4,"COPSEM","EXPLOTACION","""2015-07-21T05:00:00.000Z""","NOCHE",4.3,4.3,true,"BAJO","null","",true,"F/R",9,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"SIN PERSONAL","Si","1.40","1.50","Si","No"
"Sn 331N",3300,4,4,"IESA SA","EXPLOTACION","""2015-07-20T05:00:00.000Z""","NOCHE",4.1,4.1,true,"BAJO","null","",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.30","1.10","Si","No"
"Cro 160E",2860,4.5,4,"IESA SA","AVANCE","""2015-07-17T05:00:00.000Z""","DIA",4.1,4.1,true,"CRITICO","null","",false,"MF/R",6,"Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","1.0","1.10","Si","No"
"Sn116",2890,4,4,"IESA SA","EXPLOTACION","""2015-07-17T05:00:00.000Z""","NOCHE",4.1,4.1,true,"CRITICO","null","",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.3","1.2","Si","No"
"Cro 119",3000,4,4,"IESA SA","EXPLOTACION","""2015-07-19T05:00:00.000Z""","NOCHE",4.1,4.1,true,"CRITICO","null","Se recomienda sostenimiento con splitset 1 x 1 + malla electrsoldada.",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"SIN PERSONAL","No","1.52","1.47","No","Si"
"Rpa 031",3300,4,4,"IESA SA","EXPLOTACION","""2015-07-22T05:00:00.000Z""","DIA",4,4,true,"CRITICO","null","Caliza con presencia de mineral ,fallas subverticales",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"SIN PERSONAL","No","1.10","1.00","Si","No"
"Rpa. 102 S",3180,4,4,"IESA SA","EXPLOTACION","""2015-07-22T05:00:00.000Z""","DIA",4.22,4.22,true,"CRITICO","null","utilizar parches de malla en la ultima fila de sostenimiento",true,"MF/R",6,"Shotcrete con fibra (3""). Split Set a 1.00 x 1.00 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.10","1,30","Si","Si"
"Cro. 436 S",4050,4,4,"COPSEM","EXPLOTACION","""2015-07-22T05:00:00.000Z""","DIA",4.1,4.1,true,"CRITICO","null","Terreno de baja resistencia, falla paralela a la labor presencia de poniza, zona moderadamente alterada.  Recomendación por cada disparo realizado , reforzar el sostenimiento con shotcrette de 3""",true,"MF/MP",0,"Shotcrete con fibra (3""). Split Set a 1.00 x 1.00 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","Si","1.20","1.20","Si","No"
"Stp. 8089",4050,4,4,"COPSEM","EXPLOTACION","""2015-07-22T05:00:00.000Z""","DIA",4.2,4.2,true,"CRITICO","null","Roca de mediana resistencia, falla transversal a la labor, presenta caliza gris marmolizada.",true,"F/R",9,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","No","1.50","1.40","Si","Si"
"S/N 7779",3420,4,4,"COPSEM","EXPLOTACION","""2015-07-22T05:00:00.000Z""","DIA",4.1,4.1,true,"BAJO","null","",true,"MF/R",6,"Shotcrete con fibra (3""). Split Set a 1.00 x 1.00 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.50","1.48","Si","No"
"Gal 984 W",3180,4,4,"IESA SA","EXPLOTACION","""2015-07-23T05:00:00.000Z""","DIA",4,4,true,"BAJO","null","Caliza gris con material vituminoso",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.00","1.10","Si","No"
"Tunel Portaro Lado E",3600,3.5,3.3,"COPSEM","AVANCE","""2015-07-23T05:00:00.000Z""","DIA",3.5,3.5,true,"MEDIO","null","",true,"F/R",9,"Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","Si","1.20","1.50","Si","Si"
"Stp. 687",3600,4,5,"COPSEM","EXPLOTACION","""2015-07-23T05:00:00.000Z""","DIA",4.2,4.2,true,"CRITICO","null","",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","Si","1.52","1.45","Si","No"
"Stp. 154 S",3600,4,4,"COPSEM","EXPLOTACION","""2015-07-23T05:00:00.000Z""","DIA",4.8,4.8,true,"BAJO","null","Falla semi paralela al avance se observa mallas sobresalidas. Recomendacion descargue de mallas cargadas y realizar voladura controlada",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.30","1.40","Si","No"
"Stp. 436 S",4050,4,4,"COPSEM","EXPLOTACION","""2015-07-23T05:00:00.000Z""","NOCHE",4.2,4.2,true,"CRITICO","null","",true,"IF/R",0,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.50","1.50","Si","Si"
"Rpa 990",2890,4.5,4,"IESA SA","AVANCE","""2015-07-24T05:00:00.000Z""","DIA",4,4,true,"CRITICO","null","Se recomienda intermediar split set en el hastial izquierdo por que se presentan cuñas.",true,"MF/R",6,"Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","1.15","1.10","Si","No"
"Stp 160 S",2890,4,4,"CIA MINERA ATACOCHA","EXPLOTACION","""2015-07-24T05:00:00.000Z""","DIA",4.2,4.2,true,"CRITICO","null","se esta rellenando la labor  ",true,"MF/R",6,"Shotcrete con fibra (3""). Split Set a 1.00 x 1.00 m. Malla electrosoldada.",,"Root","Root","Root",,"SIN PERSONAL","Si","1.50","1.50","Si","No"
"Stp 441",2960,4,5,"CIA MINERA ATACOCHA","EXPLOTACION","""2015-07-24T05:00:00.000Z""","DIA",5.2,5.2,true,"CRITICO","null","se debe controlar la seccion de la labor, falta completar el sostenmiento del acceso principal y del lado derecho ",true,"MF/R",6,"Shotcrete con fibra (3""). Split Set a 1.00 x 1.00 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.50","1.50","Si","No"
"Cro 687",3600,4,4,"COPSEM","EXPLOTACION","""2015-07-24T05:00:00.000Z""","NOCHE",4.5,4.5,true,"CRITICO","null","",true,"MF/R",6,"Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.4","1.4","Si","No"
